ID,consider_analyses,zip,town,canton,coordX,coordY,accuracy_of_coordinates,intentionality,type_of_food,source_of_food,frequency,amount g,restricted feeding,site_characteristics,n_birds,start,started,end,updates 12.2.22
89,unknown,8172,Niederglatt,ZH,680500,261499,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,30,2017,unknown,unknown,
90,unknown,8820,Wädenswil,ZH,690500,231499,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2011,unknown,unknown,
91,unknown,9413,Berneck,SG,762500,254500,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,10 to 15,2017,unknown,unknown,
92,unknown,3555,Trubschachen,BE,631175,193588,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,9,2019,unknown,unknown,
93,unknown,9479,Oberschan,SG,754731,218189,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,10 to 14,2015,unknown,unknown,
94,unknown,6372,Ennetmoos,NW,668500,201499,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,5,2015,unknown,unknown,
95,unknown,8537,Nussbaumen,TG,704245,275552,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,10,2016,unknown,unknown,
96,unknown,8442,Hettlingen,ZH,696499,267499,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,7,2017,unknown,unknown,
97,unknown,4536,Basadingen-Schlattingen,TG,700499,279499,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,31,2012,unknown,unknown,
98,unknown,8477,Oberstammheim,ZH,702909,276411,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,30,2016,unknown,unknown,
99,unknown,3125,Toffen,BE,604008,190989,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,7 to 12,2019,unknown,unknown,
100,unknown,9450,Altstätten,SG,758871,250716,,intentional,pasta ,kitchen,unknown,unknown,unknown,unknown,20,2017,unknown,unknown,
101,unknown,3125,Toffen,BE,603988,189649,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,30,2019,unknown,unknown,
102,medium,3157,Milken,BE,593030,181130,,intentional,slaughter waste,own chickens,regularly (daily?),unknown,unknown,house + garden,2,2020,unknown,ongoing,
103,small,1723,Marly,FR,579568,180546,,intentional,meat and cheese,unknown,unkown,unknown,unknown,house + garden,2,2018,unkown,unknown,
104,small,3159,Guggisberg,BE,591367,181323,,intentional,cheese,unknown,unkown,unknown,unknown,house + garden,unkown,2016,unkown,unknown,
105,large,6014,Luzern,LU,661377,212132,,intentional,slaughter waste,butchery lucerne,several times per week,>5000,year round,meadow,>250,2016,>10 years ,unknown,
106,small?,3185,Guggisberg,BE,589783,178625,,intentional,,,,,,house + garden?,,2019,2019,unknown,
107,unknown,8964,Rudolfstetten,AG,670855,246432,exact,intentional,chicken necks,grocery store,daily,800,year round,meadow by the house,< 30,2020,2017,ongoing,
108,unknown,3144,Gasel,BE,599634,193739,town,intentional,unknown,unknown,unknown,unknown,winter,edge of the forest,unknown,2015,unknown,unknown,
109,unknown,8507,Hörhausen,TG,718145,278661,exact,intentional,kitchen waste,restaurant,unknown,unknown,unknown,unknown,unknown,2016,unknown,unknown,
110,unknown,8634,Hobmrechtikon,ZH,,,town,intentional,meat,local butcher,1-2x/week,800 - 1000,year round,garden,20,2018,> 20 years,ongoing,
111,unknown,8212,Neuhausen,SH,,,town,intentional,cheese,unknown,unknown,unknown,unknown,children's playground,>15,2018,unknown,unknown,
