ID;nest_name;municipaliy;location;coordX;coordY;tree_species;latitude;longitude;eu_dem_v11;swissALTI;nest_height_m;official_zip;official_municipality;official_locality;official_canton;official_country
75;Alterswil_Galteren;Alterswil;Galteren;583920;183320;Pabi;46.800845;7.227996;687.20;683.55;NA;1712;Tafers;Im Grabe;Fribourg;Switzerland
76;St. Ursen_Hattenberg;St. Ursen;Hattenberg;581076;183637;Pabi;46.803621;7.190728;651.38;665.15;NA;1717;St. Ursen;Hattenbergrain;Fribourg;Switzerland
77;Pierrafortscha_Bois de morvin;Pierrafortscha;Bois de morvin;581319;181230;Aalb;46.781976;7.19401;775.74;770.60;NA;1723;Pierrafortscha;Bois de Morvin;Fribourg;Switzerland
78;Oberschrot_Tolenhubel;Oberschrot;Tolenhubel;586942;176256;Fexc;46.737368;7.267785;874.58;881.59;NA;1716;Oberschrot;Tolenhubel;Fribourg;Switzerland
79;Sangernboden_Rainwald;Sangernboden;Rainwald;592522;174006;Aalb;46.717215;7.340831;1067.96;1034.90;28.0;1738;Sangernboden;Rainwald;Bern;Switzerland
80;Guggisberg_Hirschmatt;Guggisberg;Hirschmatt;591116;178545;Fsyl;46.758028;7.322353;961.20;940.28;20.7;3158;Guggisberg;Grubershaus;Bern;Switzerland
81;Guggisberg_Steinachere;Guggisberg;Steinachere;591055;178915;Pabi;46.761355;7.321547;1024.17;1022.58;NA;3158;Guggisberg;Steinackern;Bern;Switzerland
82;Guggisberg_Brannele Tilia;Guggisberg;Brannele Tilia;591329;179550;Tpla;46.767071;7.325122;1085.18;1099.46;NA;3158;Guggisberg;Brandelen;Bern;Switzerland
83;Schwarzenburg_Herrenholz;Schwarzenburg;Herrenholz;593553;183680;Pabi;46.804247;7.354178;868.83;862.93;30.0;3157;Milken;Herrenholz;Bern;Switzerland
84;Mamishaus_Hausmattweid beech;Mamishaus;Hausmattweid beech;594329;184276;Fsyl;46.809616;7.364336;862.56;857.55;NA;3152;Mamishaus;Duntelenhölzli;Bern;Switzerland
85;Mamishaus_Dunti;Mamishaus;Dunti;594752;184222;Pabi;46.809134;7.369879;847.18;846.93;NA;3152;Mamishaus;Muttberghölzli;Bern;Switzerland
86;Mamishaus_Rümlisberg;Mamishaus;Rümlisberg;594915;183702;Pabi;46.804457;7.37202;864.69;866.79;NA;3152;Mamishaus;Hubelholz;Bern;Switzerland
87;Wahlern_Gänsemoos;Wahlern;Gänsemoos;593354;187115;Aalb;46.835144;7.35152;838.06;834.78;NA;3148;Lanzenhäusern;Hohliebeholz;Bern;Switzerland
88;Wahlern_Althaus;Wahlern;Althaus;593147;186886;Aalb;46.833082;7.348811;853.61;844.82;28.7;3150;Schwarzenburg;Hohliebeholz;Bern;Switzerland
89;Mittelhäusern_Hubel;Mittelhäusern;Hubel;595100;191635;Pabi;46.875819;7.374357;713.58;710.00;31.5;3147;Mittelhäusern;Bützewald;Bern;Switzerland
90;Guggisberg_Willmesacher;Guggisberg;Willmesacher;591057;179629;Aalb;46.767778;7.32156;1053.11;1044.57;26.7;3158;Guggisberg;Willemannsacker;Bern;Switzerland
91;Tafers_Rohrholz;Tafers;Rohrholz;584761;185344;Pabi;46.819071;7.238945;712.12;712.95;NA;1712;Tafers;Gruebenacherholz;Fribourg;Switzerland
92;Düdingen_Unter St. Wolfgangholz beech;Düdingen;Unter St. Wolfgangholz beech;580110;187010;Fsyl;46.833934;7.177926;618.55;616.18;NA;3186;Düdingen;Weidli;Fribourg;Switzerland
93;Tentlingen_Lottenacher;Tentlingen;Lottenacher;581674;180696;Fsyl;46.777183;7.19868;727.29;713.18;NA;1723;Pierrafortscha;Eichenholz;Fribourg;Switzerland
94;Düdingen_Cholberehölzli;Düdingen;Cholberehölzli;582610;190395;Psyl;46.864454;7.210565;611.46;606.63;30.0;3186;Düdingen;Cholberehölzli;Fribourg;Switzerland
95;Oberschrot_Bärfeli;Oberschrot;Bärfeli;586350;176612;Fexc;46.740558;7.260029;944.87;935.08;NA;1716;Oberschrot;Grundberg;Fribourg;Switzerland
96;Tentlingen_Bärg;Tentlingen;Bärg;581431;180359;Fsyl;46.774145;7.195512;725.71;723.91;23.7;1723;Pierrafortscha;Côte des Foyards;Fribourg;Switzerland
97;Wünnewil_Nussbaumen;Wünnewil;Nussbaumen;587800;192900;NA;46.887103;7.278564;581.65;574.07;NA;3184;Wünnewil;Grabeholz;Fribourg;Switzerland
98;Alterswil_Chleholz picea;Alterswil;Chleholz picea;588572;181583;Pabi;46.785317;7.288978;881.32;868.36;28.1;1715;Alterswil FR;Chleeholz;Fribourg;Switzerland
99;Schmitten_Betlehemholz;Schmitten;Betlehemholz;584280;189560;Pabi;46.856984;7.232496;674.23;663.45;NA;3185;Schmitten (FR);Bethlehemholz;Fribourg;Switzerland
100;Oberschrot_Sali_15;Oberschrot;Sali_15;586920;176570;Qrob;46.740192;7.267488;911.93;922.75;NA;1716;Oberschrot;Lengisried;Fribourg;Switzerland
101;Brünisried_Weidli;Brünisried;Weidli;587140;179220;Ldec;46.764034;7.270292;877.74;878.01;NA;1719;Brünisried;Tägelholz;Fribourg;Switzerland
102;Plaffeien_Mülleren;Plaffeien;Mülleren;589400;175890;Pabi;46.73412;7.299954;843.87;837.13;NA;3158;Guggisberg;Müllern;Bern;Switzerland
103;Tafers_Brunnenbergrain;Tafers;Brunnenbergrain;583720;184480;Aalb;46.811275;7.225335;749.58;720.60;NA;1712;Tafers;Oberholz;Fribourg;Switzerland
104;Bourguillon_Tannholz;Bourguillon;Tannholz;581350;183230;Fsyl;46.799968;7.194334;707.58;697.07;NA;1717;St. Ursen;Tannholz;Fribourg;Switzerland
105;Schmitten_Lanthenholz old;Schmitten;Lanthenholz old;585600;187400;Aalb;46.837585;7.249874;716.30;700.15;NA;3185;Schmitten (FR);Wylerholz;Fribourg;Switzerland
106;Wünnewil_Staffels S;Wünnewil;Staffels S;586409;191944;Psyl;46.878476;7.260342;627.77;625.80;23.3;3184;Wünnewil;Brugeraholz;Fribourg;Switzerland
107;Erlenbach_football;Erlenbach;football;609508;167622;Fsyl;46.659764;7.562862;678.03;675.26;NA;3762;Erlenbach im Simmental;Ouallmi;Bern;Switzerland
108;Sangernboden_Spittelwald;Sangernboden;Spittelwald;592381;173539;Aalb;46.713012;7.338995;1004.76;1012.88;NA;1716;Schwarzsee;Spittelwald;Fribourg;Switzerland
109;Brünisried_Berghölzli;Brünisried;Berghölzli;588140;177820;Pabi;46.751459;7.283419;948.18;938.96;NA;1719;Brünisried;Berghölzli;Fribourg;Switzerland
