nr,coord_x,coord_y,square,random,area,Q1,Q2,Q3,Q4.a,Q4.b,Q4.c,Q5,Q6Rotmilan,Q7,Q8.Erhaltung,Q8.näher,Q8.Vorschlag,Q8.Photo,Q8.übriges.L,Q8.sonstiges,Q9,Q10,Q11.a,Q11.b,Q11.c,sex,age,reaction..0.2.,building.type,comments,intentionality,ref.nr..Known.feeder
14,587079.7,191356.7,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,apartment ,NA,NA,NA
15,586631.1,192097.3,G19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,M,50-65,0,house + garden,"Schlösslistrasse 15, 3184 Wünnewil. Perler Anita, bird expert
",NA,NA
16,588204.5,191577.5,G20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
17,588082.7,191222.3,G20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,house + garden,NA,NA,NA
18,587563.3,190801,G20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,house,NA,NA,NA
19,588594.9,191331.8,G20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
20,589702.9,190192.2,G20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
21,587953.3,190798.4,G20,1,village,Ja,ganze Jahr,1-2/Woche,placenta,NA,NA,>1000g,1,5-10years,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,2,farm,Placenta ,nonintentional,NA
22,591410.7,191738,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,20-35,1,house + garden,NA,NA,NA
23,591733.9,192478.6,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,2,farm,NA,NA,NA
